0.000000	8.500000	N
8.500000	11.700000	F#:maj
11.700000	13.500000	C#:maj
13.500000	15.100000	A#:maj
15.100000	16.900000	D#:min
16.900000	18.000000	C#:maj
18.000000	18.500000	A#:min
18.500000	21.900000	B:maj
21.900000	23.500000	G#:min
23.500000	24.900000	C#:maj
24.900000	25.200000	G#:min
25.200000	26.900000	A#:min
26.900000	28.600000	D#:maj
28.600000	30.400000	G#:min
30.400000	31.900000	F:min
31.900000	35.200000	A#:maj
35.200000	38.600000	F#:maj
38.600000	40.300000	C#:maj
40.300000	41.900000	A#:maj
41.900000	43.600000	D#:min
43.600000	45.400000	A#:min
45.400000	48.700000	B:maj
48.700000	50.400000	G#:min
50.400000	51.700000	C#:maj
51.700000	52.100000	G#:min
52.100000	53.700000	A#:min
53.700000	55.400000	D#:maj
55.400000	57.200000	G#:min
57.200000	58.000000	C#:maj
58.000000	58.800000	F:min
58.800000	62.000000	A#:maj
62.000000	63.800000	D#:min
63.800000	65.400000	F#:maj
65.400000	67.200000	B:maj
67.200000	68.800000	C#:maj
68.800000	72.100000	A#:min
72.100000	73.900000	D#:min
73.900000	75.400000	C#:maj
75.400000	78.800000	G#:maj
78.800000	80.500000	B:maj
80.500000	83.000000	A#:maj
83.000000	88.900000	D#:maj
88.900000	90.600000	G#:min
90.600000	92.300000	C#:maj
92.300000	93.900000	A#:min
93.900000	95.500000	D#:min
95.500000	97.300000	G#:min
97.300000	99.000000	F:min
99.000000	102.200000	A#:maj
102.200000	105.600000	F#:maj
105.600000	107.400000	C#:maj
107.400000	109.000000	A#:maj
109.000000	110.700000	D#:min
110.700000	111.000000	A#:min
111.000000	111.800000	C#:maj
111.800000	112.400000	A#:min
112.400000	115.700000	B:maj
115.700000	117.400000	G#:min
117.400000	119.000000	C#:maj
119.000000	120.800000	A#:min
120.800000	122.400000	D#:maj
122.400000	124.200000	G#:min
124.200000	125.800000	F:min
125.800000	129.100000	A#:maj
129.100000	130.900000	D#:min
130.900000	132.500000	F#:maj
132.500000	134.200000	B:maj
134.200000	135.900000	C#:maj
135.900000	139.200000	A#:min
139.200000	140.900000	D#:min
140.900000	141.500000	A#:min
141.500000	142.500000	C#:maj
142.500000	145.900000	G#:maj
145.900000	147.600000	B:maj
147.600000	149.400000	A#:maj
149.400000	150.900000	D#:min
150.900000	152.700000	F#:maj
152.700000	154.400000	B:maj
154.400000	156.100000	C#:maj
156.100000	159.400000	A#:min
159.400000	161.200000	D#:min
161.200000	162.600000	C#:maj
162.600000	166.100000	G#:maj
166.100000	167.800000	B:maj
167.800000	169.500000	A#:maj
169.500000	171.100000	D#:min
171.100000	172.800000	F#:maj
172.800000	174.500000	B:maj
174.500000	176.200000	C#:maj
176.200000	179.500000	A#:min
179.500000	181.300000	D#:min
181.300000	182.900000	F#:maj
182.900000	186.300000	G#:maj
186.300000	187.900000	B:maj
187.900000	193.100000	A#:maj
193.100000	200.100000	D#:maj
200.100000	200.900000	N
